No,Treatment,Upsell
59,Temporary Additional Bridge - Pontic,Temporary Bridge + Long-Term Upgrade Option
60,Temporary attachment Device (TAD),TAD with Long-Term Follow-Up Package
61,Maxillary sinus augmentation treatment,Advanced Surgical Care + Post-Op Rehabilitation
62,Metal partial denture treatment of upper partial denture - 7T 2R 2OR,Full-Mouth Denture Package
63,Metal partial denture treatment of lower partial denture - 7T 2R 2OR,Full-Mouth Denture Package
64,Temporary partial denture treatment,Full Denture + Free Adjustments
65,Metal partial denture treatment of upper partial denture - 4T 3R 2OR,Full-Mouth Denture Package
66,Metal partial denture treatment of lower partial denture - 4T 3R 2OR,Full-Mouth Denture Package
67,Metal partial denture treatment of upper partial denture - 3T 3R 2OR,Full-Mouth Denture Package
68,Metal partial denture treatment of lower partial denture - 3T 3R 2OR,Full-Mouth Denture Package
69,RC Quick Package - Front,Quick Root Canal Package with Restoration
70,RC Minor Package - Front,Quick Root Canal Package with Restoration
71,RC Major Package - Front,Quick Root Canal Package with Restoration
72,RC Quick Package - Back,Quick Root Canal Package with Restoration
73,RC Minor Package - Back,Major Root Canal with Porcelain Crown
74,RC Major Package - Back,Quick Root Canal Package with Restoration
75,Student Treatment Package,Annual Unlimited Dental Checkup Package
76,PreAligner Hygiene package,Whitening Add-On Post-Aligners
77,Complete check package,Full Oral Health Check with X-rays
78,Prevention Seal package,Lifetime Sealant Protection
79,Temporary attachment Device (TAD) VERSI LAMA,
80,1 Crown - Resin,Porcelain Crown Upgrade
81,Reattachment of fixed wire retainer,Retainer Package with Long-Term Care
82,Plastic retainer /40,Clear Retainer + Free Adjustments
83,Oral Health Index - Advance Hygiene (First Time) - Subscription (New Customer),Complete Oral Health Monitoring Subscription
84,Oral Health Index - Advance Hygiene (Add Time) - Subscription (Current Cust),Complete Oral Health Monitoring Subscription
85,5 unit Implant bridge (support),Full-Arch Implant Bridge Package with Extended Warranty
86,4 unit Implant bridge (support),Comprehensive Implant Care Plan with Maintenance Package
87,2 unit Implant bridge (support),Dual Implant Bridge with Lifetime Follow-Up Care
88,Clinical Occlusal Analysis,Comprehensive Occlusal Analysis + 3D Bite Mapping
89,Adjunct phys therapy for TMJ,TMJ Therapy Package with Personalized Exercises
90,Occlusal Adjustment,Full Occlusal Balancing with Advanced TMJ Support
91,Periodontal surgery (Crown Lengthening),Cosmetic Crown Lengthening with Smile Enhancement Plan
92,Periodontal surgery (Involving),Complete Periodontal Restoration with Laser-Assisted Surgery
93,6 unit Implant bridge (support) -1,Full Mouth Implant Restoration with Extended Warranty
94,6 unit Implant bridge (support) -2,Full Mouth Implant Restoration with Extended Warranty
95,Root canal 1 & Post,Implant Bridge + Bone Graft for Long-Term Support
96,Smile Fix - Porceline,Porcelain Smile Makeover with Premium Veneers
97,Complete Denture (Atas Bawah),Complete Denture Package with Free Adjustments
98,Splinting & Stabilisation,Stabilization Treatment + Night Guard for Protection
99,complete upper denture,Full Upper Denture with Lifetime Adjustment Plan
100,Denture Reparation (BROKEN BASE PARTIAL DENTURE),Denture Repair + Reinforced Base for Longevity
101,7 unit Implant bridge (support),Full Mouth Implant Bridge with Advanced Support Package
102,Complete Denture Lower,Lower Denture Package with Extended Warranty
103,Denture Reparation (Reattaching pre-existing clasp to denture),Denture Clasp Repair + Upgrade to Premium Material
104,Denture Reparation (Repair or addition to metal casting),Metal Casting Repair + Long-Term Maintenance
105,Denture Reparation (Replacing/adding clasp to denture – per clasp),Clasp Replacement with Enhanced Durability Package
106,Denture Reparation (Repairing broken base of a complete denture),Denture Base Repair + Strengthening for Extended Use
107,Denture Reparation (Reattaching existing tooth on denture – per tooth),Tooth Reattachment with Premium Materials
108,Denture Reparation (Adding tooth to partial denture to replace an extracted or decoronated tooth – per tooth), Partial Denture Tooth Addition with Custom Color Matching
109,Denture Reparation (Replacing/adding new tooth on denture – per tooth),Denture Tooth Replacement + Color Matching Upgrade
110,Removal of fixed retainer,Fixed Retainer Removal + Retainer Replacement Plan
111,Removal of passive appliance,Appliance Removal with Custom Retainer Fit
112,Full banding bracket placement,Advanced Bracket System for Faster Orthodontic Results
113,Fixed retainer,Clear Fixed Retainer with Free Adjustments for 1 Year
114,"4 Bridge treatment 2A, 2P",Full-Arch Bridge with Extended Warranty
115,"5 Bridge treatment 3A, 2P",Premium Bridge Package with Follow-Up Care
116,"6 Bridge treatment  3A,3P",Complete Bridge Package with Lifetime Maintenance
117,"2 Bridge treatment  1A,1P",Small Bridge Treatment with Enhanced Aesthetic Materials
118,Provisional crown – per tooth,Temporary Crown with Long-Term Upgrade Plan
119,"Repair of crown, bridge or splint - indirect",Crown/Bridge/Splint Repair with Premium Material Upgrade
120,"Repair of crown, bridge or splint – direct",Direct Repair with Free Follow-Up Adjustments
121,Monit 1,Full Dental Monitoring Package with Monthly Follow-Ups
