No,Treatment,Upsell,treatment_keywords,upsell_keywords,Predicted Upsell Treatment,Jaccard Score
20,Emergency,24/7 Emergency Dental Care Subscription,{'emergency'},"{'care', '247', 'emergency', 'subscription', 'dental'}",Dental Implant & Crown,0.14285714285714285
21,Root canal 1,Full Tooth Restoration Post Root Canal,"{'root', 'canal', '1'}","{'root', 'restoration', 'canal', 'tooth', 'post'}",Root canal 1 & Post,0.5
22,Root canal 2,High-Precision Laser-Assisted Root Canal,"{'root', '2', 'canal'}","{'highprecision', 'laserassisted', 'root', 'canal'}",Root canal 1,0.4
23,Root canal 3,Comprehensive Root Canal Package with Crown,"{'root', 'canal', '3'}","{'root', 'canal', 'package', 'crown', 'comprehensive'}",Root canal 1,0.3333333333333333
24,Root canal 4,Premium Root Canal Treatment with Follow-Up,"{'root', 'canal', '4'}","{'root', 'canal', 'treatment', 'followup', 'premium'}",Root canal 1,0.3333333333333333
25,Simple gum treatment,Simple Gum Treatment + Antibacterial Rinse,"{'gum', 'simple', 'treatment'}","{'treatment', 'simple', 'antibacterial', 'gum', 'rinse'}",Simple gum treatment follow up,0.5
26,Simple gum treatment follow up,Gum Health Maintenance Plan,"{'gum', 'simple', 'treatment', 'follow'}","{'gum', 'maintenance', 'health', 'plan'}",Simple gum treatment,0.16666666666666666
27,Deep Gum treatment,Deep Gum Cleaning + Laser-Assisted Therapy,"{'gum', 'deep', 'treatment'}","{'laserassisted', 'deep', 'cleaning', 'gum', 'therapy'}",Deep Gum treatment With Laser (LAPT),0.25
28,Gingivectomy - per tooth,Cosmetic Gingivectomy Full-Mouth Package,"{'gingivectomy', 'tooth'}","{'package', 'cosmetic', 'fullmouth', 'gingivectomy'}",RC Quick Package - Front,0.16666666666666666
29,Crown Lengthening - per tooth,Smile Enhancement with Cosmetic Crown Lengthening,"{'tooth', 'crown', 'lengthening'}","{'cosmetic', 'lengthening', 'smile', 'crown', 'enhancement'}",Periodontal surgery (Crown Lengthening),0.2857142857142857
30,Acute periodontal disease,Advanced Periodontal Disease Treatment Package,"{'periodontal', 'disease', 'acute'}","{'treatment', 'advanced', 'disease', 'package', 'periodontal'}",Student Treatment Package,0.3333333333333333
31,Deep Gum treatment With Laser (LAPT),Full Gum Restoration with Laser Follow-Ups,"{'laser', 'treatment', 'deep', 'gum', 'lapt'}","{'gum', 'restoration', 'laser', 'followups'}",Simple gum treatment,0.16666666666666666
32,Sparkling smile (In & Out ),Sparkling Smile + Whitening Package,"{'sparkling', 'smile'}","{'package', 'sparkling', 'smile', 'whitening'}",Smile Fix,0.2
33,Pearly white (Whitening kit ),Complete Whitening System: In-Office + Take-Home Kit,"{'whitening', 'pearly', 'kit', 'white'}","{'inoffice', 'whitening', 'kit', 'takehome', 'complete'}",Complete check package,0.14285714285714285
34,Smile Fix,Full Smile Makeover with Veneers or Crowns,"{'fix', 'smile'}","{'veneers', 'makeover', 'smile', 'crowns'}",Sparkling smile (In & Out ),0.2
35,Refresh (New),Refresh + Whitening Treatment Package,"{'new', 'refresh'}","{'whitening', 'package', 'treatment', 'refresh'}",Student Treatment Package,0.4
36,Rejuvenate (New),Rejuvenate + Smile Correction,"{'new', 'rejuvenate'}","{'rejuvenate', 'smile', 'correction'}",Sparkling smile (In & Out ),0.25
37,Lite Aligner ( Easy Level),Retainer Package After Lite Aligner,"{'aligner', 'easy', 'level', 'lite'}","{'package', 'aligner', 'retainer', 'lite'}",Fixed retainer,0.2
38,Basic Aligner (Medium Level),Smile Preview with Basic Aligner Treatment,"{'medium', 'aligner', 'basic', 'level'}","{'basic', 'treatment', 'smile', 'aligner', 'preview'}",Treatment Planning,0.16666666666666666
39,Premium Aligner (Difficult Level),Comprehensive Orthodontic Care with Premium Aligner,"{'aligner', 'premium', 'level', 'difficult'}","{'care', 'orthodontic', 'premium', 'aligner', 'comprehensive'}",Lite Aligner ( Easy Level),0.125
40,Mouth Guard pro,Custom-Fit Mouthguard + Annual Replacement,"{'guard', 'pro', 'mouth'}","{'mouthguard', 'replacement', 'customfit', 'annual'}",,0.0
41,Wear Protect - Occlusal Splint,Advanced Night Guard for TMJ Relief,"{'wear', 'occlusal', 'protect', 'splint'}","{'guard', 'advanced', 'night', 'relief', 'tmj'}",Advanced Hygiene,0.16666666666666666
42,Dental Implant & Crown,Full Dental Implant Package with Maintenance,"{'implant', 'dental', 'crown'}","{'implant', 'package', 'maintenance', 'dental'}",Dental Implant & Crown + Bone graft,0.2857142857142857
43,Dental Implant & Crown + Bone graft,Complete Dental Implant Package with Lifetime Warranty,"{'implant', 'bone', 'graft', 'dental', 'crown'}","{'implant', 'package', 'warranty', 'lifetime', 'complete', 'dental'}",Dental Implant & Crown,0.2857142857142857
44,Bone Graft (GTR),Bone Grafting + Follow-Up Care,"{'gtr', 'bone', 'graft'}","{'bone', 'grafting', 'care', 'followup'}",Dental Implant & Crown + Bone graft,0.125
45,1 Crown,Premium Porcelain Crown Upgrade,"{'crown', '1'}","{'porcelain', 'upgrade', 'premium', 'crown'}",2 Crown,0.2
46,2 Crown,Full-Arch Crown Restoration Package,"{'crown', '2'}","{'package', 'fullarch', 'restoration', 'crown'}",1 Crown,0.2
47,3 Crown,Full-Arch Crown Restoration Package,"{'3', 'crown'}","{'package', 'fullarch', 'restoration', 'crown'}",1 Crown,0.2
48,4 Crown,Full-Arch Crown Restoration Package,"{'crown', '4'}","{'package', 'fullarch', 'restoration', 'crown'}",1 Crown,0.2
49,5 Crown,Full-Arch Crown Restoration Package,"{'5', 'crown'}","{'package', 'fullarch', 'restoration', 'crown'}",1 Crown,0.2
50,6 Crown,Full-Arch Crown Restoration Package,"{'6', 'crown'}","{'package', 'fullarch', 'restoration', 'crown'}",1 Crown,0.2
51,7 Crown,Full-Arch Crown Restoration Package,"{'7', 'crown'}","{'package', 'fullarch', 'restoration', 'crown'}",1 Crown,0.2
52,8 Crown,Full-Arch Crown Restoration Package,"{'8', 'crown'}","{'package', 'fullarch', 'restoration', 'crown'}",1 Crown,0.2
53,9 Crown,Full-Arch Crown Restoration Package,"{'9', 'crown'}","{'package', 'fullarch', 'restoration', 'crown'}",1 Crown,0.2
54,3 Bridge treatment,Full-Arch Bridge Restoration Package,"{'3', 'treatment', 'bridge'}","{'package', 'fullarch', 'restoration', 'bridge'}",Additional Bridge - Pontic ,0.16666666666666666
55,3 unit implant bridge,Extended Warranty for Implant Bridge,"{'implant', 'unit', '3', 'bridge'}","{'implant', 'extended', 'warranty', 'bridge'}",5 unit Implant bridge (support),0.2857142857142857
56,1 Crown Pediatric - front tooth,Pediatric Crown + Oral Hygiene Training,"{'pediatric', 'tooth', 'crown', '1'}","{'pediatric', 'hygiene', 'training', 'oral', 'crown'}",1 Crown Pediatric - Backtooth,0.2857142857142857
57,1 Crown Pediatric - Backtooth,Pediatric Crown + Oral Hygiene Training,"{'backtooth', 'pediatric', 'crown', '1'}","{'pediatric', 'hygiene', 'training', 'oral', 'crown'}",1 Crown Pediatric - front tooth,0.2857142857142857
58,Additional Bridge - Pontic ,Advanced Bridge Restoration with Warranty,"{'pontic', 'additional', 'bridge'}","{'warranty', 'restoration', 'advanced', 'bridge'}",Advanced Hygiene,0.2
59,Temporary Additional Bridge - Pontic,Temporary Bridge + Long-Term Upgrade Option,"{'pontic', 'additional', 'bridge', 'temporary'}","{'temporary', 'option', 'upgrade', 'bridge', 'longterm'}",3 Bridge treatment,0.14285714285714285
60,Temporary attachment Device (TAD),TAD with Long-Term Follow-Up Package,"{'device', 'attachment', 'tad', 'temporary'}","{'package', 'tad', 'longterm', 'followup'}",RC Quick Package - Front,0.16666666666666666
61,Maxillary sinus augmentation treatment,Advanced Surgical Care + Post-Op Rehabilitation,"{'sinus', 'treatment', 'augmentation', 'maxillary'}","{'surgical', 'advanced', 'care', 'postop', 'rehabilitation'}",Advanced Hygiene,0.16666666666666666
62,Metal partial denture treatment of upper partial denture - 7T 2R 2OR,Full-Mouth Denture Package,"{'metal', '7t', 'treatment', 'denture', 'upper', '2r', 'partial', '2or'}","{'package', 'fullmouth', 'denture'}",RC Quick Package - Front,0.2
63,Metal partial denture treatment of lower partial denture - 7T 2R 2OR,Full-Mouth Denture Package,"{'metal', '7t', 'treatment', 'denture', '2r', 'lower', 'partial', '2or'}","{'package', 'fullmouth', 'denture'}",RC Quick Package - Front,0.2
64,Temporary partial denture treatment,Full Denture + Free Adjustments,"{'partial', 'treatment', 'denture', 'temporary'}","{'free', 'denture', 'adjustments'}",complete upper denture,0.2
65,Metal partial denture treatment of upper partial denture - 4T 3R 2OR,Full-Mouth Denture Package,"{'metal', 'treatment', 'denture', '4t', 'upper', 'partial', '2or', '3r'}","{'package', 'fullmouth', 'denture'}",RC Quick Package - Front,0.2
66,Metal partial denture treatment of lower partial denture - 4T 3R 2OR,Full-Mouth Denture Package,"{'metal', 'treatment', 'denture', '4t', 'lower', 'partial', '2or', '3r'}","{'package', 'fullmouth', 'denture'}",RC Quick Package - Front,0.2
67,Metal partial denture treatment of upper partial denture - 3T 3R 2OR,Full-Mouth Denture Package,"{'metal', '3t', 'treatment', 'denture', 'upper', 'partial', '2or', '3r'}","{'package', 'fullmouth', 'denture'}",RC Quick Package - Front,0.2
68,Metal partial denture treatment of lower partial denture - 3T 3R 2OR,Full-Mouth Denture Package,"{'metal', '3t', 'treatment', 'denture', 'lower', 'partial', '2or', '3r'}","{'package', 'fullmouth', 'denture'}",RC Quick Package - Front,0.2
69,RC Quick Package - Front,Quick Root Canal Package with Restoration,"{'rc', 'package', 'quick'}","{'root', 'restoration', 'canal', 'package', 'quick'}",Root canal 1,0.3333333333333333
70,RC Minor Package - Front,Quick Root Canal Package with Restoration,"{'rc', 'package', 'minor'}","{'root', 'restoration', 'canal', 'package', 'quick'}",Root canal 1,0.3333333333333333
71,RC Major Package - Front,Quick Root Canal Package with Restoration,"{'rc', 'package', 'major'}","{'root', 'restoration', 'canal', 'package', 'quick'}",Root canal 1,0.3333333333333333
72,RC Quick Package - Back,Quick Root Canal Package with Restoration,"{'rc', 'package', 'quick'}","{'root', 'restoration', 'canal', 'package', 'quick'}",Root canal 1,0.3333333333333333
73,RC Minor Package - Back,Major Root Canal with Porcelain Crown,"{'rc', 'package', 'minor'}","{'root', 'canal', 'porcelain', 'major', 'crown'}",Root canal 1,0.3333333333333333
74,RC Major Package - Back,Quick Root Canal Package with Restoration,"{'rc', 'package', 'major'}","{'root', 'restoration', 'canal', 'package', 'quick'}",Root canal 1,0.3333333333333333
75,Student Treatment Package,Annual Unlimited Dental Checkup Package,"{'package', 'student', 'treatment'}","{'annual', 'unlimited', 'package', 'dental', 'checkup'}",Routine Clean - dental checkup,0.2857142857142857
76,PreAligner Hygiene package,Whitening Add-On Post-Aligners,"{'hygiene', 'prealigner', 'package'}","{'postaligners', 'addon', 'whitening'}",Pearly white (Whitening kit ),0.16666666666666666
77,Complete check package,Full Oral Health Check with X-rays,"{'package', 'complete', 'check'}","{'check', 'health', 'xrays', 'oral'}",Caries Xrays,0.2
78,Prevention Seal package,Lifetime Sealant Protection,"{'package', 'prevention', 'seal'}","{'protection', 'sealant', 'lifetime'}",,0.0
79,Temporary attachment Device (TAD) VERSI LAMA,,"{'device', 'attachment', 'lama', 'temporary', 'versi', 'tad'}",set(),,0.0
80,1 Crown - Resin,Porcelain Crown Upgrade,"{'resin', 'crown', '1'}","{'porcelain', 'upgrade', 'crown'}",1 Crown,0.25
81,Reattachment of fixed wire retainer,Retainer Package with Long-Term Care,"{'wire', 'reattachment', 'retainer', 'fixed'}","{'package', 'longterm', 'retainer', 'care'}",Fixed retainer,0.2
82,Plastic retainer /40,Clear Retainer + Free Adjustments,"{'40', 'plastic', 'retainer'}","{'free', 'clear', 'retainer', 'adjustments'}",Fixed retainer,0.2
83,Oral Health Index - Advance Hygiene (First Time) - Subscription (New Customer),Complete Oral Health Monitoring Subscription,"{'time', 'hygiene', 'new', 'customer', 'index', 'health', 'oral', 'subscription', 'advance'}","{'oral', 'subscription', 'complete', 'monitoring', 'health'}",Oral Health Index - Advance Hygiene (Add Time) - Subscription (Current Cust),0.25
84,Oral Health Index - Advance Hygiene (Add Time) - Subscription (Current Cust),Complete Oral Health Monitoring Subscription,"{'time', 'current', 'hygiene', 'index', 'health', 'oral', 'subscription', 'advance', 'cust', 'add'}","{'oral', 'subscription', 'complete', 'monitoring', 'health'}",Oral Health Index - Advance Hygiene (First Time) - Subscription (New Customer),0.2727272727272727
85,5 unit Implant bridge (support),Full-Arch Implant Bridge Package with Extended Warranty,"{'implant', '5', 'unit', 'support', 'bridge'}","{'implant', 'fullarch', 'bridge', 'package', 'extended', 'warranty'}",3 unit implant bridge,0.25
86,4 unit Implant bridge (support),Comprehensive Implant Care Plan with Maintenance Package,"{'implant', 'unit', '4', 'support', 'bridge'}","{'implant', 'care', 'plan', 'package', 'maintenance', 'comprehensive'}",Dental Implant & Crown,0.125
87,2 unit Implant bridge (support),Dual Implant Bridge with Lifetime Follow-Up Care,"{'implant', '2', 'unit', 'support', 'bridge'}","{'implant', 'dual', 'care', 'followup', 'bridge', 'lifetime'}",3 unit implant bridge,0.25
88,Clinical Occlusal Analysis,Comprehensive Occlusal Analysis + 3D Bite Mapping,"{'analysis', 'occlusal', 'clinical'}","{'bite', '3d', 'mapping', 'analysis', 'occlusal', 'comprehensive'}",Occlusal Adjustment,0.14285714285714285
89,Adjunct phys therapy for TMJ,TMJ Therapy Package with Personalized Exercises,"{'phys', 'therapy', 'adjunct', 'tmj'}","{'exercises', 'tmj', 'package', 'personalized', 'therapy'}",RC Quick Package - Front,0.14285714285714285
90,Occlusal Adjustment,Full Occlusal Balancing with Advanced TMJ Support,"{'adjustment', 'occlusal'}","{'balancing', 'advanced', 'support', 'tmj', 'occlusal'}",Advanced Hygiene,0.16666666666666666
91,Periodontal surgery (Crown Lengthening),Cosmetic Crown Lengthening with Smile Enhancement Plan,"{'surgery', 'crown', 'periodontal', 'lengthening'}","{'cosmetic', 'plan', 'lengthening', 'smile', 'crown', 'enhancement'}",Crown Lengthening - per tooth,0.2857142857142857
92,Periodontal surgery (Involving),Complete Periodontal Restoration with Laser-Assisted Surgery,"{'surgery', 'involving', 'periodontal'}","{'laserassisted', 'restoration', 'surgery', 'complete', 'periodontal'}",Periodontal surgery (Crown Lengthening),0.2857142857142857
93,6 unit Implant bridge (support) -1,Full Mouth Implant Restoration with Extended Warranty,"{'implant', '6', '1', 'unit', 'support', 'bridge'}","{'implant', 'restoration', 'extended', 'warranty', 'mouth'}",Mouth Guard pro,0.14285714285714285
94,6 unit Implant bridge (support) -2,Full Mouth Implant Restoration with Extended Warranty,"{'implant', '6', '2', 'unit', 'support', 'bridge'}","{'implant', 'restoration', 'extended', 'warranty', 'mouth'}",Mouth Guard pro,0.14285714285714285
95,Root canal 1 & Post,Implant Bridge + Bone Graft for Long-Term Support,"{'root', 'post', 'canal', '1'}","{'implant', 'bone', 'graft', 'bridge', 'support', 'longterm'}",Dental Implant & Crown + Bone graft,0.375
96,Smile Fix - Porceline,Porcelain Smile Makeover with Premium Veneers,"{'porceline', 'fix', 'smile'}","{'makeover', 'porcelain', 'veneers', 'premium', 'smile'}",Sparkling smile (In & Out ),0.16666666666666666
97,Complete Denture (Atas Bawah),Complete Denture Package with Free Adjustments,"{'complete', 'atas', 'denture', 'bawah'}","{'denture', 'adjustments', 'free', 'package', 'complete'}",Complete check package,0.3333333333333333
98,Splinting & Stabilisation,Stabilization Treatment + Night Guard for Protection,"{'stabilisation', 'splinting'}","{'protection', 'guard', 'treatment', 'night', 'stabilization'}",Treatment Planning,0.16666666666666666
99,complete upper denture,Full Upper Denture with Lifetime Adjustment Plan,"{'complete', 'upper', 'denture'}","{'adjustment', 'denture', 'plan', 'upper', 'lifetime'}",Metal partial denture treatment of upper partial denture - 7T 2R 2OR,0.18181818181818182
100,Denture Reparation (BROKEN BASE PARTIAL DENTURE),Denture Repair + Reinforced Base for Longevity,"{'broken', 'denture', 'base', 'partial', 'reparation'}","{'denture', 'reinforced', 'base', 'repair', 'longevity'}",Denture Reparation (Repair or addition to metal casting),0.2222222222222222
101,7 unit Implant bridge (support),Full Mouth Implant Bridge with Advanced Support Package,"{'implant', 'unit', 'support', 'bridge', '7'}","{'implant', 'advanced', 'support', 'bridge', 'package', 'mouth'}",5 unit Implant bridge (support),0.375
102,Complete Denture Lower,Lower Denture Package with Extended Warranty,"{'lower', 'complete', 'denture'}","{'denture', 'lower', 'package', 'extended', 'warranty'}",Metal partial denture treatment of lower partial denture - 7T 2R 2OR,0.18181818181818182
103,Denture Reparation (Reattaching pre-existing clasp to denture),Denture Clasp Repair + Upgrade to Premium Material,"{'denture', 'reattaching', 'preexisting', 'clasp', 'reparation'}","{'denture', 'upgrade', 'clasp', 'premium', 'material', 'repair'}",Denture Reparation (Replacing/adding clasp to denture – per clasp),0.25
104,Denture Reparation (Repair or addition to metal casting),Metal Casting Repair + Long-Term Maintenance,"{'metal', 'denture', 'casting', 'repair', 'reparation', 'addition'}","{'metal', 'casting', 'maintenance', 'longterm', 'repair'}","Repair of crown, bridge or splint - indirect",0.1111111111111111
105,Denture Reparation (Replacing/adding clasp to denture – per clasp),Clasp Replacement with Enhanced Durability Package,"{'clasp', 'reparation', 'denture', 'replacingadding'}","{'enhanced', 'replacement', 'package', 'clasp', 'durability'}",RC Quick Package - Front,0.14285714285714285
106,Denture Reparation (Repairing broken base of a complete denture),Denture Base Repair + Strengthening for Extended Use,"{'broken', 'denture', 'repairing', 'base', 'complete', 'reparation'}","{'denture', 'extended', 'base', 'strengthening', 'use', 'repair'}",Denture Reparation (BROKEN BASE PARTIAL DENTURE),0.2222222222222222
107,Denture Reparation (Reattaching existing tooth on denture – per tooth),Tooth Reattachment with Premium Materials,"{'existing', 'denture', 'reattaching', 'tooth', 'reparation'}","{'materials', 'reattachment', 'premium', 'tooth'}",Gingivectomy - per tooth,0.2
108,Denture Reparation (Adding tooth to partial denture to replace an extracted or decoronated tooth – per tooth), Partial Denture Tooth Addition with Custom Color Matching,"{'denture', 'replace', 'extracted', 'tooth', 'decoronated', 'partial', 'adding', 'reparation'}","{'denture', 'color', 'custom', 'tooth', 'partial', 'matching', 'addition'}",Temporary partial denture treatment,0.2222222222222222
109,Denture Reparation (Replacing/adding new tooth on denture – per tooth),Denture Tooth Replacement + Color Matching Upgrade,"{'denture', 'new', 'tooth', 'replacingadding', 'reparation'}","{'denture', 'color', 'upgrade', 'replacement', 'tooth', 'matching'}",Denture Reparation (Reattaching existing tooth on denture – per tooth),0.2222222222222222
110,Removal of fixed retainer,Fixed Retainer Removal + Retainer Replacement Plan,"{'retainer', 'removal', 'fixed'}","{'retainer', 'plan', 'replacement', 'removal', 'fixed'}",Fixed retainer,0.4
111,Removal of passive appliance,Appliance Removal with Custom Retainer Fit,"{'passive', 'removal', 'appliance'}","{'fit', 'retainer', 'custom', 'removal', 'appliance'}",Removal of fixed retainer,0.3333333333333333
112,Full banding bracket placement,Advanced Bracket System for Faster Orthodontic Results,"{'placement', 'banding', 'bracket'}","{'bracket', 'advanced', 'orthodontic', 'results', 'faster'}",Advanced Hygiene,0.16666666666666666
113,Fixed retainer,Clear Fixed Retainer with Free Adjustments for 1 Year,"{'retainer', 'fixed'}","{'retainer', 'adjustments', 'free', '1', 'fixed', 'year', 'clear'}",Removal of fixed retainer,0.25
114,"4 Bridge treatment 2A, 2P",Full-Arch Bridge with Extended Warranty,"{'2a', 'treatment', '4', 'bridge', '2p'}","{'extended', 'fullarch', 'warranty', 'bridge'}",3 Bridge treatment,0.16666666666666666
115,"5 Bridge treatment 3A, 2P",Premium Bridge Package with Follow-Up Care,"{'treatment', '5', '3a', 'bridge', '2p'}","{'care', 'followup', 'bridge', 'package', 'premium'}",3 Bridge treatment,0.14285714285714285
116,"6 Bridge treatment  3A,3P",Complete Bridge Package with Lifetime Maintenance,"{'3a3p', '6', 'treatment', 'bridge'}","{'bridge', 'package', 'maintenance', 'lifetime', 'complete'}",Complete check package,0.3333333333333333
117,"2 Bridge treatment  1A,1P",Small Bridge Treatment with Enhanced Aesthetic Materials,"{'1a1p', '2', 'treatment', 'bridge'}","{'treatment', 'enhanced', 'bridge', 'materials', 'small', 'aesthetic'}",3 Bridge treatment,0.2857142857142857
118,Provisional crown – per tooth,Temporary Crown with Long-Term Upgrade Plan,"{'provisional', 'crown', 'tooth'}","{'plan', 'temporary', 'upgrade', 'crown', 'longterm'}",1 Crown,0.16666666666666666
119,"Repair of crown, bridge or splint - indirect",Crown/Bridge/Splint Repair with Premium Material Upgrade,"{'crown', 'bridge', 'indirect', 'splint', 'repair'}","{'upgrade', 'crownbridgesplint', 'material', 'premium', 'repair'}",Premium Aligner (Difficult Level),0.125
120,"Repair of crown, bridge or splint – direct",Direct Repair with Free Follow-Up Adjustments,"{'bridge', 'repair', 'crown', 'splint', 'direct'}","{'adjustments', 'free', 'followup', 'direct', 'repair'}","Repair of crown, bridge or splint - indirect",0.1111111111111111
121,Monit 1,Full Dental Monitoring Package with Monthly Follow-Ups,"{'monit', '1'}","{'package', 'followups', 'monthly', 'monitoring', 'dental'}",Dental Implant & Crown,0.14285714285714285
